split,faultNumber,model,n_trajectories,mean_metric,median_metric,std_metric,minimum,maximum
test,7,hist_gradient_boosting,500,0.8344497725625505,0.8421052631578947,0.08521343052156034,0.5,1.0
test,7,linear_svm,500,0.8371923810668772,0.8461538461538461,0.08489719262180759,0.5,1.0
test,7,logistic_regression,500,0.8367888096383059,0.8461538461538461,0.08493734781663854,0.5,1.0
test,7,random_forest,500,0.836820555670052,0.8461538461538461,0.08468600440001486,0.5,1.0
test,8,decision_tree,500,0.6744567085928679,0.6666666666666666,0.11497530977011726,0.3333333333333333,1.0
test,8,extra_trees,500,0.7790264610257691,0.782608695652174,0.09930750194320785,0.4666666666666667,1.0
test,8,hist_gradient_boosting,500,0.7614752863509,0.7619047619047619,0.1005983546269805,0.4666666666666667,1.0
test,8,linear_svm,500,0.419699268993556,0.42105263157894735,0.13528001087207225,0.07692307692307693,0.875
test,8,logistic_regression,500,0.4248227638016183,0.4166666666666667,0.15388202358488937,0.0,0.8181818181818182
test,8,random_forest,500,0.7816827194761923,0.7841614906832298,0.09874575413820655,0.4666666666666667,1.0
test,9,decision_tree,500,0.18649462759025814,0.17391304347826086,0.09070741643548356,0.0,0.47058823529411764
test,9,extra_trees,500,0.23939067790631105,0.23529411764705882,0.09723550136366213,0.0,0.5882352941176471
test,9,hist_gradient_boosting,500,0.17663365686703364,0.17391304347826086,0.0871711035825241,0.0,0.47619047619047616
test,9,linear_svm,500,0.20355682406937411,0.2,0.09517131101536301,0.0,0.5882352941176471
test,9,logistic_regression,500,0.08543768343662451,0.07692307692307693,0.06514253235280279,0.0,0.3333333333333333
test,9,random_forest,500,0.23483059516217344,0.22727272727272727,0.09872653286239512,0.0,0.5714285714285714
test,10,decision_tree,500,0.573630859239044,0.5714285714285714,0.11943370591109118,0.2,0.9285714285714286
test,10,extra_trees,500,0.7022720288162229,0.7058823529411765,0.11120338828682903,0.3333333333333333,1.0
test,10,hist_gradient_boosting,500,0.6944551208801335,0.7047930283224402,0.11758920599388953,0.3333333333333333,1.0
test,10,linear_svm,500,0.0429424837840618,0.04083333333333333,0.050141072284224764,0.0,0.29411764705882354
test,10,logistic_regression,500,0.07825361126915895,0.06666666666666667,0.06086037766614069,0.0,0.3157894736842105
test,10,random_forest,500,0.7077701760998766,0.7142857142857143,0.11265515361175754,0.35294117647058826,1.0
test,11,decision_tree,500,0.6362366174649362,0.631578947368421,0.10717826170353713,0.35714285714285715,0.9090909090909091
test,11,extra_trees,500,0.6584932317208025,0.6666666666666666,0.10919101461404791,0.25,0.9411764705882353
test,11,hist_gradient_boosting,500,0.7050776818592978,0.7083333333333334,0.105330990371253,0.375,1.0
test,11,linear_svm,500,0.04053600374885587,0.041666666666666664,0.044026582688273475,0.0,0.2222222222222222
test,11,logistic_regression,500,0.11700261846395452,0.10714285714285714,0.07145130220609561,0.0,0.35
test,11,random_forest,500,0.6769607420791355,0.6842105263157895,0.10349865347323542,0.375,0.9411764705882353
test,12,decision_tree,500,0.6429352548240734,0.6521739130434783,0.13708655795565527,0.0,1.0
test,12,extra_trees,500,0.7397424850773845,0.7777777777777778,0.1653416354999606,0.0,1.0
test,12,hist_gradient_boosting,500,0.7575444707083068,0.7777777777777778,0.13002167007712578,0.0,1.0
test,12,linear_svm,500,0.07957377939685496,0.06666666666666667,0.0654372946278938,0.0,0.38461538461538464
test,12,logistic_regression,500,0.26051459779076536,0.25,0.12851104920836084,0.0,0.7333333333333333
test,12,random_forest,500,0.7636349222752816,0.7857142857142857,0.1384563189956554,0.0,1.0
test,13,decision_tree,500,0.6693301834236556,0.6818181818181818,0.1303248364039244,0.21052631578947367,1.0
test,13,extra_trees,500,0.7417302211794445,0.76,0.11811997708812134,0.19047619047619047,1.0
test,13,hist_gradient_boosting,500,0.7304716687363212,0.75,0.12356435044437535,0.10526315789473684,1.0
test,13,linear_svm,500,0.4381839766930678,0.42857142857142855,0.16604757187102417,0.0,1.0
